STATION,NAME,DATE,TMAX,TMIN,Avg Temp
USC00367938,"SELLERSVILLE, PA US",5/5/2017,65,47,54
USC00367938,"SELLERSVILLE, PA US",5/6/2017,66,54,62
USC00367938,"SELLERSVILLE, PA US",5/7/2017,66,45,47
USC00367938,"SELLERSVILLE, PA US",5/8/2017,53,39,49
USC00367938,"SELLERSVILLE, PA US",5/9/2017,59,38,45
USC00367938,"SELLERSVILLE, PA US",5/10/2017,63,45,50
USC00367938,"SELLERSVILLE, PA US",5/11/2017,68,46,48
USC00367938,"SELLERSVILLE, PA US",5/12/2017,60,45,51
USC00367938,"SELLERSVILLE, PA US",5/13/2017,60,46,47
USC00367938,"SELLERSVILLE, PA US",5/14/2017,55,44,50
USC00367938,"SELLERSVILLE, PA US",5/15/2017,70,45,56
USC00367938,"SELLERSVILLE, PA US",5/16/2017,71,50,53
USC00367938,"SELLERSVILLE, PA US",5/17/2017,80,50,63
USC00367938,"SELLERSVILLE, PA US",5/18/2017,92,63,80
USC00367938,"SELLERSVILLE, PA US",5/19/2017,92,65,75
USC00367938,"SELLERSVILLE, PA US",5/20/2017,89,57,59
USC00367938,"SELLERSVILLE, PA US",5/21/2017,61,44,50
USC00367938,"SELLERSVILLE, PA US",5/22/2017,71,50,53
USC00367938,"SELLERSVILLE, PA US",5/23/2017,63,52,55
USC00367938,"SELLERSVILLE, PA US",5/24/2017,66,52,58
USC00367938,"SELLERSVILLE, PA US",5/25/2017,71,54,55
USC00367938,"SELLERSVILLE, PA US",5/26/2017,61,49,59
USC00367938,"SELLERSVILLE, PA US",5/27/2017,72,51,52
USC00367938,"SELLERSVILLE, PA US",5/28/2017,72,41,65
USC00367938,"SELLERSVILLE, PA US",5/29/2017,76,54,56
USC00367938,"SELLERSVILLE, PA US",5/30/2017,61,54,55
USC00367938,"SELLERSVILLE, PA US",5/31/2017,60,55,60
USC00367938,"SELLERSVILLE, PA US",6/1/2017,78,52,61
USC00367938,"SELLERSVILLE, PA US",6/2/2017,76,50,58
USC00367938,"SELLERSVILLE, PA US",6/3/2017,75,47,54
USC00367938,"SELLERSVILLE, PA US",6/4/2017,74,45,55
USC00367938,"SELLERSVILLE, PA US",6/5/2017,69,55,64
USC00367938,"SELLERSVILLE, PA US",6/6/2017,71,57,58
USC00367938,"SELLERSVILLE, PA US",6/7/2017,61,50,53
USC00367938,"SELLERSVILLE, PA US",6/8/2017,67,45,55
USC00367938,"SELLERSVILLE, PA US",6/9/2017,69,40,53
USC00367938,"SELLERSVILLE, PA US",6/10/2017,80,53,61
USC00367938,"SELLERSVILLE, PA US",6/11/2017,85,58,62
USC00367938,"SELLERSVILLE, PA US",6/12/2017,90,62,70
USC00367938,"SELLERSVILLE, PA US",6/13/2017,91,65,75
USC00367938,"SELLERSVILLE, PA US",6/14/2017,89,69,73
USC00367938,"SELLERSVILLE, PA US",6/15/2017,84,61,67
USC00367938,"SELLERSVILLE, PA US",6/16/2017,82,62,64
USC00367938,"SELLERSVILLE, PA US",6/17/2017,73,63,66
USC00367938,"SELLERSVILLE, PA US",6/18/2017,79,66,73
USC00367938,"SELLERSVILLE, PA US",6/19/2017,85,72,77
USC00367938,"SELLERSVILLE, PA US",6/20/2017,87,67,68
USC00367938,"SELLERSVILLE, PA US",6/21/2017,83,61,67
USC00367938,"SELLERSVILLE, PA US",6/22/2017,84,,63
USC00367938,"SELLERSVILLE, PA US",6/23/2017,86,63,73
USC00367938,"SELLERSVILLE, PA US",6/24/2017,85,68,69
USC00367938,"SELLERSVILLE, PA US",6/25/2017,83,60,66
USC00367938,"SELLERSVILLE, PA US",6/26/2017,82,57,65
USC00367938,"SELLERSVILLE, PA US",6/27/2017,78,59,61
USC00367938,"SELLERSVILLE, PA US",6/28/2017,77,51,58
USC00367938,"SELLERSVILLE, PA US",6/29/2017,78,58,66
USC00367938,"SELLERSVILLE, PA US",6/30/2017,85,66,75
USC00367938,"SELLERSVILLE, PA US",7/1/2017,89,67,71
USC00367938,"SELLERSVILLE, PA US",7/2/2017,87,66,71
USC00367938,"SELLERSVILLE, PA US",7/3/2017,88,64,70
USC00367938,"SELLERSVILLE, PA US",7/4/2017,87,68,73
USC00367938,"SELLERSVILLE, PA US",7/5/2017,86,69,72
USC00367938,"SELLERSVILLE, PA US",7/6/2017,82,67,68
USC00367938,"SELLERSVILLE, PA US",7/7/2017,77,68,69
USC00367938,"SELLERSVILLE, PA US",7/8/2017,84,65,67
USC00367938,"SELLERSVILLE, PA US",7/9/2017,83,59,63
USC00367938,"SELLERSVILLE, PA US",7/10/2017,81,57,62
USC00367938,"SELLERSVILLE, PA US",7/11/2017,85,62,71
USC00367938,"SELLERSVILLE, PA US",7/12/2017,87,70,74
USC00367938,"SELLERSVILLE, PA US",7/13/2017,87,73,75
USC00367938,"SELLERSVILLE, PA US",7/14/2017,89,71,73
USC00367938,"SELLERSVILLE, PA US",7/15/2017,73,69,72
USC00367938,"SELLERSVILLE, PA US",7/16/2017,84,61,63
USC00367938,"SELLERSVILLE, PA US",7/17/2017,84,62,71
USC00367938,"SELLERSVILLE, PA US",7/18/2017,87,70,73
USC00367938,"SELLERSVILLE, PA US",7/19/2017,88,69,72
USC00367938,"SELLERSVILLE, PA US",7/20/2017,91,71,73
USC00367938,"SELLERSVILLE, PA US",7/21/2017,90,71,75
USC00367938,"SELLERSVILLE, PA US",7/22/2017,83,57,74
USC00367938,"SELLERSVILLE, PA US",7/23/2017,89,70,71
USC00367938,"SELLERSVILLE, PA US",7/24/2017,84,69,70
USC00367938,"SELLERSVILLE, PA US",7/25/2017,84,63,65
USC00367938,"SELLERSVILLE, PA US",7/26/2017,75,64,66
USC00367938,"SELLERSVILLE, PA US",7/27/2017,78,63,67
USC00367938,"SELLERSVILLE, PA US",7/28/2017,79,66,70
USC00367938,"SELLERSVILLE, PA US",7/29/2017,84,65,66
USC00367938,"SELLERSVILLE, PA US",7/30/2017,78,53,57
USC00367938,"SELLERSVILLE, PA US",7/31/2017,82,56,62
USC00367938,"SELLERSVILLE, PA US",8/1/2017,88,62,67
USC00367938,"SELLERSVILLE, PA US",8/2/2017,89,65,73
USC00367938,"SELLERSVILLE, PA US",8/3/2017,88,64,66
USC00367938,"SELLERSVILLE, PA US",8/4/2017,87,66,70
USC00367938,"SELLERSVILLE, PA US",8/5/2017,88,67,68
USC00367938,"SELLERSVILLE, PA US",8/6/2017,76,54,57
USC00367938,"SELLERSVILLE, PA US",8/7/2017,74,57,63
USC00367938,"SELLERSVILLE, PA US",8/8/2017,69,60,66
USC00367938,"SELLERSVILLE, PA US",8/9/2017,78,59,61
USC00367938,"SELLERSVILLE, PA US",8/10/2017,83,58,62
USC00367938,"SELLERSVILLE, PA US",8/11/2017,84,62,66
USC00367938,"SELLERSVILLE, PA US",8/12/2017,81,65,68
USC00367938,"SELLERSVILLE, PA US",8/13/2017,81,63,65
USC00367938,"SELLERSVILLE, PA US",8/14/2017,83,59,62
USC00367938,"SELLERSVILLE, PA US",8/15/2017,77,62,68
