Day of week,Date,distance,Time,Pace,MD,Month,Year
Sunday,11/2/14,5,0:42:50,0:08:34,11/2/20,11,2014
Sunday,10/26/14,5.03,0:43:02,0:08:33,10/26/20,10,2014
Sunday,10/19/14,5.02,0:44:13,0:08:48,10/19/20,10,2014
Sunday,10/12/14,5.05,0:42:53,0:08:30,10/12/20,10,2014
Sunday,9/28/14,5.04,0:42:48,0:08:30,9/28/20,9,2014
Sunday,9/21/14,5,0:45:13,0:09:03,9/21/20,9,2014
Friday,9/5/14,5,0:44:55,0:08:59,9/5/20,9,2014
Saturday,8/30/14,6.51,0:58:20,0:08:58,8/30/20,8,2014
Sunday,8/24/14,6.5,0:57:01,0:08:46,8/24/20,8,2014
Sunday,8/17/14,6.5,1:00:09,0:09:15,8/17/20,8,2014
Sunday,8/10/14,6.5,0:58:31,0:09:00,8/10/20,8,2014
Saturday,8/2/14,6.5,0:59:13,0:09:07,8/2/20,8,2014
Sunday,7/6/14,6.54,0:58:29,0:08:57,7/6/20,7,2014
Sunday,6/29/14,6.5,1:00:01,0:09:14,6/29/20,6,2014
Sunday,6/22/14,6.53,0:59:49,0:09:10,6/22/20,6,2014
Sunday,6/15/14,6.5,0:58:28,0:09:00,6/15/20,6,2014
Sunday,6/8/14,6.5,0:58:25,0:08:59,6/8/20,6,2014
Sunday,6/1/14,6.5,0:58:49,0:09:03,6/1/20,6,2014
Sunday,5/25/14,6.51,0:59:32,0:09:09,5/25/20,5,2014
Sunday,5/18/14,6.5,0:58:19,0:08:58,5/18/20,5,2014
Sunday,5/11/14,6.51,1:00:02,0:09:13,5/11/20,5,2014
Sunday,4/27/14,5.02,0:44:21,0:08:50,4/27/20,4,2014
Sunday,4/13/14,5.05,0:46:59,0:09:18,4/13/20,4,2014
Sunday,4/6/14,5.02,0:45:21,0:09:02,4/6/20,4,2014
Sunday,3/30/14,2.93,0:24:32,0:08:22,3/30/20,3,2014
Sunday,3/23/14,5,0:45:21,0:09:04,3/23/20,3,2014
Sunday,3/9/14,5,0:42:21,0:08:28,3/9/20,3,2014
Thursday,2/6/14,3.02,0:28:58,0:09:35,2/6/20,2,2014
Monday,2/3/14,3.01,0:27:27,0:09:07,2/3/20,2,2014
Sunday,1/12/14,5.02,0:45:53,0:09:08,1/12/20,1,2014
Sunday,12/22/13,5.03,0:44:44,0:08:54,12/22/20,12,2013
Sunday,12/1/13,5.02,0:44:12,0:08:48,12/1/20,12,2013
Sunday,11/17/13,5.02,0:45:08,0:08:59,11/17/20,11,2013
Sunday,11/10/13,5.03,0:45:18,0:09:00,11/10/20,11,2013
Sunday,11/3/13,5,0:45:06,0:09:01,11/3/20,11,2013
Sunday,10/13/13,1.26,0:10:36,0:08:25,10/13/20,10,2013
Sunday,9/22/13,5.04,0:45:17,0:08:59,9/22/20,9,2013
Sunday,9/15/13,5.03,0:44:01,0:08:45,9/15/20,9,2013
Sunday,9/8/13,5.02,0:45:22,0:09:02,9/8/20,9,2013
Sunday,9/1/13,5,0:45:02,0:09:00,9/1/20,9,2013
Sunday,8/25/13,5.01,0:46:10,0:09:13,8/25/20,8,2013
Friday,8/23/13,4.57,1:02:33,0:13:41,8/23/20,8,2013
Sunday,8/18/13,5.01,0:39:50,0:07:57,8/18/20,8,2013
Sunday,8/11/13,5.03,0:45:57,0:09:08,8/11/20,8,2013
Sunday,8/4/13,5.02,0:45:34,0:09:05,8/4/20,8,2013
Sunday,7/14/13,5.01,0:44:52,0:08:57,7/14/20,7,2013
Sunday,6/30/13,5,0:46:04,0:09:13,6/30/20,6,2013
Sunday,6/23/13,5.02,0:45:55,0:09:09,6/23/20,6,2013
Sunday,6/2/13,5.03,0:45:56,0:09:08,6/2/20,6,2013
Monday,5/27/13,5,0:41:13,0:08:15,5/27/20,5,2013
Friday,5/17/13,3.01,0:27:41,0:09:12,5/17/20,5,2013
Monday,5/13/13,4.46,0:34:22,0:07:42,5/13/20,5,2013
Sunday,5/5/13,5,0:41:24,0:08:17,5/5/20,5,2013
Tuesday,4/23/13,4.01,0:36:18,0:09:03,4/23/20,4,2013
Sunday,4/14/13,5,0:44:34,0:08:55,4/14/20,4,2013
Sunday,3/31/13,5.02,0:43:38,0:08:42,3/31/20,3,2013
Sunday,3/24/13,5.03,0:44:14,0:08:48,3/24/20,3,2013
Sunday,2/24/13,5.04,0:42:22,0:08:24,2/24/20,2,2013
Sunday,2/17/13,5.01,0:43:44,0:08:44,2/17/20,2,2013
Sunday,1/20/13,5.03,0:44:13,0:08:47,1/20/20,1,2013
Sunday,1/13/13,5.01,0:42:17,0:08:26,1/13/20,1,2013
Sunday,1/6/13,5.01,0:42:52,0:08:33,1/6/20,1,2013
Tuesday,12/25/12,5.05,0:42:20,0:08:23,12/25/20,12,2012
Thursday,12/20/12,3,0:23:37,0:07:52,12/20/20,12,2012
Sunday,12/16/12,4.01,0:33:42,0:08:24,12/16/20,12,2012
Sunday,12/2/12,5.02,0:42:36,0:08:29,12/2/20,12,2012
Friday,11/23/12,5.03,0:45:44,0:09:06,11/23/20,11,2012
Sunday,11/11/12,5.03,0:44:24,0:08:50,11/11/20,11,2012
Sunday,11/4/12,5.01,0:41:04,0:08:12,11/4/20,11,2012
Sunday,10/28/12,5.01,0:43:46,0:08:44,10/28/20,10,2012
Sunday,10/21/12,5,0:41:32,0:08:18,10/21/20,10,2012
Sunday,10/7/12,5.01,0:44:25,0:08:52,10/7/20,10,2012
Sunday,9/30/12,5,0:41:52,0:08:22,9/30/20,9,2012
Sunday,9/23/12,5,0:42:17,0:08:27,9/23/20,9,2012
Sunday,9/16/12,5.09,0:42:01,0:08:15,9/16/20,9,2012
Monday,9/3/12,4.93,0:44:55,0:09:07,9/3/20,9,2012
Sunday,8/26/12,9.15,1:29:00,0:09:44,8/26/20,8,2012
Thursday,8/23/12,5.86,0:56:53,0:09:42,8/23/20,8,2012
Sunday,8/19/12,5.19,0:44:29,0:08:34,8/19/20,8,2012
Sunday,8/12/12,7.13,1:04:01,0:08:59,8/12/20,8,2012
Sunday,8/5/12,6.03,0:53:13,0:08:50,8/5/20,8,2012
Sunday,7/29/12,5.1,0:43:00,0:08:26,7/29/20,7,2012
Sunday,7/22/12,4.98,0:40:13,0:08:05,7/22/20,7,2012
Sunday,7/15/12,5,0:43:37,0:08:43,7/15/20,7,2012
Sunday,7/8/12,4.96,0:43:53,0:08:51,7/8/20,7,2012
Sunday,7/1/12,5.03,0:43:53,0:08:43,7/1/20,7,2012
Sunday,6/17/12,5.07,0:41:41,0:08:13,6/17/20,6,2012
Sunday,6/10/12,5.06,0:44:50,0:08:52,6/10/20,6,2012
Sunday,5/27/12,5.94,1:00:01,0:10:06,5/27/20,5,2012
Saturday,5/12/12,5.06,0:41:36,0:08:13,5/12/20,5,2012
