Day of week,Date,distance,pace,time,pace
Sunday,4/22/2012,5.17,8:25,43:44,0:08:25
Saturday,4/28/2012,5.47,8:42,47:38,0:08:42
Sunday,5/6/2012,5.09,8:22,42:38,0:08:22
Saturday,5/12/2012,5.06,8:13,41:36,0:08:13
Sunday,5/27/2012,5.94,10:06,1:00:01,0:10:06
Sunday,6/10/2012,5.06,8:51,44:50,0:08:51
Sunday,6/17/2012,5.07,8:12,41:41,0:08:12
Sunday,7/1/2012,5.03,8:43,43:53,0:08:43
Sunday,7/8/2012,4.96,8:50,43:53,0:08:50
Sunday,7/15/2012,5,8:43,43:37,0:08:43
Sunday,7/22/2012,4.98,8:04,40:13,0:08:04
Sunday,7/29/2012,5.1,8:25,43:00,0:08:25
Sunday,8/5/2012,6.03,8:49,53:13,0:08:49
Sunday,8/12/2012,7.13,8:59,1:04:01,0:08:59
Sunday,8/19/2012,5.19,8:34,44:29,0:08:34
Thursday,8/23/2012,5.86,9:42,56:53,0:09:42
Sunday,8/26/2012,9.15,9:43,1:29:00,0:09:43
Monday,9/3/2012,4.93,9:07,44:55,0:09:07
Sunday,9/16/2012,5.09,8:15,42:01,0:08:15
Sunday,9/23/2012,5,8:27,42:17,0:08:27
Sunday,9/30/2012,5,8:22,41:52,0:08:22
Sunday,10/7/2012,5.01,8:51,44:25,0:08:51
Sunday,10/21/2012,5,8:18,41:32,0:08:18
Sunday,10/28/2012,5.01,8:43,43:46,0:08:43
Sunday,11/4/2012,5.01,8:11,41:04,0:08:11
Sunday,11/11/2012,5.03,8:50,44:24,0:08:50
Friday,11/23/2012,5.03,9:05,45:44,0:09:05
Sunday,12/2/2012,5.02,8:29,42:36,0:08:29
Sunday,12/16/2012,4.01,8:24,33:42,0:08:24
Thursday,12/20/2012,3,7:51,23:37,0:07:51
Tuesday,12/25/2012,5.05,8:23,42:20,0:08:23
Sunday,1/6/2013,5.01,8:33,42:52,0:08:33
Sunday,1/13/2013,5.01,8:26,42:17,0:08:26
Sunday,1/20/2013,5.03,8:47,44:13,0:08:47
Sunday,2/17/2013,5.01,8:43,43:44,0:08:43
Sunday,2/24/2013,5.04,8:24,42:22,0:08:24
Sunday,3/24/2013,5.03,8:47,44:14,0:08:47
Sunday,3/31/2013,5.02,8:42,43:38,0:08:42
Sunday,4/14/2013,5,8:54,44:34,0:08:54
Tuesday,4/23/2013,4.01,9:03,36:18,0:09:03
Sunday,5/5/2013,5,8:16,41.24,0:08:16
Monday,5/13/2013,4.46,7:42,34:22,0:07:42
Friday,5/17/2013,3.01,9:11,27:41,0:09:11
Monday,5/27/2013,5,8:14,41:13,0:08:14
Sunday,6/2/2013,5.03,9:08,45:56,0:09:08
Sunday,6/23/2013,5.02,9:08,45:55,0:09:08
Sunday,6/30/2013,5,9:13,46:04,0:09:13
Sunday,7/14/2013,5.01,8:57,44:52,0:08:57
Sunday,8/4/2013,5.02,9:04,45:34,0:09:04
Sunday,8/11/2013,5.03,9:08,45:57,0:09:08
Sunday,8/18/2013,5.01,7:56,39:50,0:07:56
Friday,8/23/2013,4.57,13:41,1:02:33,0:13:41
Sunday,8/25/2013,5.01,9:13,46:10,0:09:13
Sunday,9/1/2013,5,9:00,45:02,0:09:00
Sunday,9/8/2013,5.02,9:02,45:22,0:09:02
Sunday,9/15/2013,5.03,8:45,44:01,0:08:45
